APP_ID_C,target
app_108941,0.011807378
app_108942,0.012296976
app_108943,0.010814098
app_108944,0.026164482
app_108945,0.016982817
app_108946,0.026148473
app_108947,0.02593014
app_108948,0.008705076
app_108949,0.016866019
app_108950,0.020134486
app_108951,0.011256369
app_108952,0.020098249
app_108953,0.038345299
app_108954,0.019747098
app_108955,0.020775757
app_108956,0.021545995
app_108957,0.004807476
app_108958,0.033181319
app_108959,0.016866019
app_108960,0.03333316
app_108961,0.01927092
app_108962,0.000679534
app_108963,0.010616705
app_108964,0.017247136
app_108965,0.00714155
app_108966,0.025593156
app_108967,0.029554448
app_108968,0.027058219
app_108969,0.012100771
app_108970,0.006608505
app_108971,0.02468722
app_108972,0.015992707
app_108973,0.015208321
app_108974,0.02194276
app_108975,0.017992294
app_108976,0.020470692
app_108977,0.018980047
app_108978,0.00647043
app_108979,0.013586267
app_108980,0.007237458
app_108981,0.030905392
app_108982,0.0098779
app_108983,0.03013277
app_108984,0.011853047
app_108985,0.005058942
app_108986,0.001187964
app_108987,0.016418435
app_108988,0.03013277
app_108989,0.03013277
app_108990,0.001897957
app_108991,0.008328089
app_108992,0.013313765
app_108993,0.066653412
app_108994,0.043515816
app_108995,0.015254543
app_108996,0.03013277
app_108997,0.037479445
app_108998,0.032826651
app_108999,0.060874997
app_109000,0.001579802
app_109001,0.028584759
app_109002,0.027146895
app_109003,0.038938218
app_109004,0.03013277
app_109005,0.049221998
app_109006,0.010260199
app_109007,0.027509094
app_109008,0.001390847
app_109009,0.049182598
app_109010,0.02177607
app_109011,0.065484144
app_109012,0.037745007
app_109013,0.01543669
app_109014,0.033267267
app_109015,0.006619486
app_109016,0.007224612
app_109017,0.011866843
app_109018,0.016884858
app_109019,0.00103876
app_109020,0.025593156
app_109021,0.005767748
app_109022,0.013577757
app_109023,0.003267345
app_109024,0.014684038
app_109025,0.007615543
app_109026,0.052009315
app_109027,0.001563101
app_109028,0.012198559
app_109029,0.001109131
app_109030,0.008483754
app_109031,0.010924519
app_109032,0.011684277
app_109033,0.033267721
app_109034,0.029458145
app_109035,0.022434414
app_109036,0.039367536
app_109037,0.003465779
app_109038,0.010177331
app_109039,0.002120785
app_109040,0.031055788
app_109041,0.010360122
app_109042,0.016866019
app_109043,0.007441651
app_109044,0.016866019
app_109045,0.021140683
app_109046,0.011858805
app_109047,0.034151073
app_109048,0.014048423
app_109049,0.025124095
